Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
21648.8,8,1000,H,Endo,5.20636e+08
21648.8,8,10000,H,Endo,1.75181e+07
21648.8,8,100,O,Ecto,3200.73
21648.8,8,1000,O,Ecto,1.5335e+06
21648.8,8,10000,O,Ecto,36579.6
21648.8,8,100,O,Endo,5.38337
21648.8,8,1000,O,Endo,5.14103e+07
21648.8,8,10000,O,Endo,177991
21648.8,8,100,C,Ecto,224.313
21648.8,8,1000,C,Ecto,3.89934e+06
21648.8,8,10000,C,Ecto,1.56246e+08
33305.8,8,100,H,Ecto,235.778
33305.8,8,1000,H,Ecto,830096
33305.8,8,10000,H,Ecto,219224
33305.8,8,1000,H,Endo,5.71778e+08
33305.8,8,10000,H,Endo,2.11615e+07
33305.8,8,100,O,Ecto,507.061
33305.8,8,1000,O,Ecto,764827
33305.8,8,10000,O,Ecto,3253.55
33305.8,8,1000,O,Endo,1.26877e+08
33305.8,8,10000,O,Endo,896365
33305.8,8,100,C,Ecto,1187.12
33305.8,8,1000,C,Ecto,2.99447e+07
33305.8,8,10000,C,Ecto,1.38672e+08
6847.92,8,100,H,Ecto,2.17054e+06
6847.92,8,1000,H,Ecto,5.46388e+06
6847.92,8,10000,H,Ecto,365.491
6847.92,8,100,H,Endo,7.55224e+06
6847.92,8,1000,H,Endo,5.03173e+07
6847.92,8,10000,H,Endo,3.44115e+06
6847.92,8,100,O,Ecto,1.79254e+06
6847.92,8,1000,O,Ecto,356349
6847.92,8,10000,O,Ecto,4070.12
6847.92,8,100,O,Endo,273011
6847.92,8,1000,O,Endo,5.51828e+06
6847.92,8,100,C,Ecto,655058
6847.92,8,1000,C,Ecto,1.88817e+06
6847.92,8,10000,C,Ecto,2.60012e+06
755.004,8,10,H,Ecto,66707.3
755.004,8,100,H,Ecto,115246
755.004,8,1000,H,Ecto,9553.75
755.004,8,100,H,Endo,1.57461e+07
755.004,8,1000,H,Endo,9.36201e+08
755.004,8,10000,H,Endo,209205
755.004,8,10,O,Ecto,0.000229125
755.004,8,100,O,Ecto,3.19086e+06
755.004,8,1000,O,Ecto,716590
755.004,8,100,O,Endo,1.00181e+07
755.004,8,1000,O,Endo,2.96762e+06
755.004,8,100,C,Ecto,3.11497e+06
755.004,8,1000,C,Ecto,1.59148e+06
755.004,8,10000,C,Ecto,25.82
6165.18,8,10,H,Ecto,250550
6165.18,8,100,H,Ecto,2.52266e+07
6165.18,8,1000,H,Ecto,5.46439e+06
6165.18,8,100,H,Endo,2.98416e+08
6165.18,8,1000,H,Endo,2.80665e+09
6165.18,8,10000,H,Endo,2.21981e+07
6165.18,8,10,O,Ecto,0.00120867
6165.18,8,100,O,Ecto,5.93613e+07
6165.18,8,1000,O,Ecto,6.4121e+07
6165.18,8,10000,O,Ecto,934.272
6165.18,8,100,O,Endo,1.66791e+08
6165.18,8,1000,O,Endo,4.41641e+07
6165.18,8,100,C,Ecto,5.24764e+06
6165.18,8,1000,C,Ecto,2.0171e+08
6165.18,8,10000,C,Ecto,496746
3784.21,8,10,H,Ecto,37458.1
3784.21,8,100,H,Ecto,74144.2
3784.21,8,1000,H,Ecto,1842.54
3784.21,8,100,H,Endo,9.10126e+06
3784.21,8,1000,H,Endo,2.53199e+09
3784.21,8,10000,H,Endo,32030.9
3784.21,8,10,O,Ecto,0.000175147
3784.21,8,100,O,Ecto,2.11862e+06
3784.21,8,1000,O,Ecto,280827
3784.21,8,100,O,Endo,5.86338e+06
3784.21,8,1000,O,Endo,3.5888e+06
3784.21,8,100,C,Ecto,6.14391e+06
3784.21,8,1000,C,Ecto,5.72981e+06
4121.12,8,10,H,Ecto,9837.5
4121.12,8,100,H,Ecto,622303
4121.12,8,1000,H,Ecto,3.22495
4121.12,8,100,H,Endo,52223.5
4121.12,8,1000,H,Endo,5.64097e+08
4121.12,8,1,O,Ecto,42.507
4121.12,8,10,O,Ecto,5.28844e-06
4121.12,8,100,O,Ecto,49436.6
4121.12,8,1000,O,Ecto,574.669
4121.12,8,100,O,Endo,36216.5
4121.12,8,1000,O,Endo,104513
4121.12,8,100,C,Ecto,2.06003e+06
4121.12,8,1000,C,Ecto,15066.5
7097.01,8,10,H,Ecto,123975
7097.01,8,100,H,Ecto,176960
7097.01,8,1000,H,Ecto,3633.65
7097.01,8,100,H,Endo,8.23881e+06
7097.01,8,1000,H,Endo,1.63403e+09
7097.01,8,10000,H,Endo,5993.21
7097.01,8,1,O,Ecto,244.091
7097.01,8,10,O,Ecto,0.000279306
7097.01,8,100,O,Ecto,2.69612e+06
7097.01,8,1000,O,Ecto,118314
7097.01,8,100,O,Endo,5.45119e+06
7097.01,8,1000,O,Endo,4.25736e+06
7097.01,8,100,C,Ecto,1.32339e+07
7097.01,8,1000,C,Ecto,114418
811.362,8,1,H,Ecto,28296.8
811.362,8,10,H,Ecto,203514
811.362,8,100,H,Ecto,4.73856e+06
811.362,8,1000,H,Endo,4.94114e+06
811.362,8,1,O,Ecto,711917
811.362,8,10,O,Ecto,40.8041
811.362,8,100,O,Ecto,19798.1
811.362,8,100,C,Ecto,2.07043e+06
3659.21,8,1,H,Ecto,15995.7
3659.21,8,10,H,Ecto,83637.3
3659.21,8,100,H,Ecto,7.71344e+06
3659.21,8,1000,H,Endo,7.08093e+06
3659.21,8,1,O,Ecto,3660.05
3659.21,8,100,O,Ecto,175.057
3659.21,8,1000,O,Endo,311.178
3659.21,8,100,C,Ecto,42474.7
698.067,8,1,H,Ecto,4.30149e+06
698.067,8,10,H,Ecto,213278
698.067,8,100,H,Ecto,3.45172e+07
698.067,8,1,O,Ecto,459300
698.067,8,10,O,Ecto,70.1629
698.067,8,100,C,Ecto,365.946
21648.8,8,10,H,Ecto,102675
21648.8,8,100,H,Ecto,1.37741e+06
21648.8,8,1000,H,Ecto,97410.1
21648.8,8,100,H,Endo,5.68315e+07
21648.8,8,1000,H,Endo,2.83189e+08
21648.8,8,10000,H,Endo,5.83722e+06
21648.8,8,10,O,Ecto,0.000438873
21648.8,8,100,O,Ecto,1.07465e+07
21648.8,8,1000,O,Ecto,8.3737e+06
21648.8,8,100,O,Endo,5.81236e+07
21648.8,8,1000,O,Endo,3.77989e+07
21648.8,8,100,C,Ecto,1.83948e+06
21648.8,8,1000,C,Ecto,1.45353e+07
21648.8,8,10000,C,Ecto,21399.2
6847.92,8,10,H,Ecto,34592
6847.92,8,100,H,Ecto,719476
6847.92,8,1000,H,Ecto,0.728995
6847.92,8,100,H,Endo,45115.3
6847.92,8,1000,H,Endo,2.32692e+07
6847.92,8,1,O,Ecto,12319.1
6847.92,8,10,O,Ecto,0.0480945
6847.92,8,100,O,Ecto,80756.9
6847.92,8,1000,O,Ecto,0.673688
6847.92,8,100,O,Endo,54184.8
6847.92,8,1000,O,Endo,39162.4
6847.92,8,100,C,Ecto,2.52275e+06
