Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
756.748,8,100,C,Ecto,120823
756.748,8,1000,C,Ecto,9071.79
6959.58,8,10,H,Ecto,185.72
6959.58,8,100,H,Ecto,3.31511e+06
6959.58,8,1000,H,Ecto,275896
6959.58,8,100,H,Endo,1.4401e+06
6959.58,8,1000,H,Endo,1.5598e+06
6959.58,8,10,O,Ecto,6406.43
6959.58,8,100,O,Ecto,1.35299e+06
6959.58,8,1000,O,Ecto,694004
6959.58,8,10000,O,Ecto,15157.8
6959.58,8,100,O,Endo,1.57714e+06
6959.58,8,1000,O,Endo,1.84088e+06
6959.58,8,100,C,Ecto,715098
6959.58,8,1000,C,Ecto,346430
6959.58,8,10000,C,Ecto,203645
3604.82,8,10,H,Ecto,1.2419e+06
3604.82,8,100,H,Ecto,25061.7
3604.82,8,100,H,Endo,22.6031
3604.82,8,1000,H,Endo,102.177
3604.82,8,10,O,Ecto,15775.5
3604.82,8,100,O,Ecto,13118.6
3604.82,8,1000,O,Ecto,30.5054
3604.82,8,100,O,Endo,235393
3604.82,8,1000,O,Endo,1154.53
3604.82,8,100,C,Ecto,744098
3604.82,8,1000,C,Ecto,59687.4
713.726,8,10,H,Ecto,4.27222e+06
713.726,8,100,H,Ecto,88758.3
713.726,8,100,H,Endo,2603.88
713.726,8,1000,H,Endo,18426.5
713.726,8,10,O,Ecto,60491.8
713.726,8,100,O,Ecto,24682.6
713.726,8,1000,O,Ecto,16.9717
713.726,8,100,O,Endo,733098
713.726,8,1000,O,Endo,309.788
713.726,8,100,C,Ecto,5.38505e+06
713.726,8,1000,C,Ecto,153180
6847.92,8,10,H,Ecto,1.74843e+06
6847.92,8,100,H,Ecto,1.24498e+06
6847.92,8,1000,H,Ecto,94.0212
6847.92,8,100,H,Endo,54180.8
6847.92,8,1000,H,Endo,56540.3
6847.92,8,10,O,Ecto,158406
6847.92,8,100,O,Ecto,574867
6847.92,8,1000,O,Ecto,4346.33
6847.92,8,100,O,Endo,5.4858e+06
6847.92,8,1000,O,Endo,172497
6847.92,8,100,C,Ecto,592768
6847.92,8,1000,C,Ecto,91996.4
16227.7,8,10,H,Ecto,273094
16227.7,8,100,H,Ecto,2.17174e+07
16227.7,8,1000,H,Ecto,245817
16227.7,8,100,H,Endo,1.18201e+07
16227.7,8,1000,H,Endo,3.52313e+07
16227.7,8,10,O,Ecto,183568
16227.7,8,100,O,Ecto,5.03506e+06
16227.7,8,1000,O,Ecto,283331
16227.7,8,100,O,Endo,5.70298e+06
16227.7,8,1000,O,Endo,1.73479e+07
16227.7,8,100,C,Ecto,1.90885e+06
16227.7,8,1000,C,Ecto,218702
16227.7,8,10000,C,Ecto,17528.7
3645,8,10,H,Ecto,231918
3645,8,1,O,Ecto,27.2252
3645,8,10,O,Ecto,29158.2
3645,8,100,O,Endo,241.416
3645,8,100,C,Ecto,665940
3645,8,1000,C,Ecto,4462.82
6518.77,8,10,H,Ecto,1.61722e+06
6518.77,8,100,H,Ecto,266569
6518.77,8,100,H,Endo,5887.53
6518.77,8,1000,H,Endo,80687.1
6518.77,8,10,O,Ecto,21367.4
6518.77,8,100,O,Ecto,76561.5
6518.77,8,1000,O,Ecto,108.597
6518.77,8,100,O,Endo,1.15809e+06
6518.77,8,1000,O,Endo,3523.88
6518.77,8,100,C,Ecto,1.3492e+06
6518.77,8,1000,C,Ecto,84134
756.748,8,10,H,Ecto,557522
756.748,8,1,O,Ecto,2992.21
756.748,8,10,O,Ecto,519461
756.748,8,100,O,Endo,2363.43
756.748,8,100,C,Ecto,1.07794e+06
756.748,8,1000,C,Ecto,5906.42
